time,step-size,{inspector}.inspectorInstance.uav1goToNext,{inspector}.inspectorInstance.uav2goToNext,{inspector}.inspectorInstance.uav3goToNext,{inspector}.inspectorInstance.uav4goToNext,{uavCont}.controller1.onStation,{uavCont}.controller1.pitchOut,{uavCont}.controller1.rollOut,{uavCont}.controller1.throttleOut,{uavCont}.controller1.yawOut,{uavCont}.controller2.onStation,{uavCont}.controller2.pitchOut,{uavCont}.controller2.rollOut,{uavCont}.controller2.throttleOut,{uavCont}.controller2.yawOut,{uavCont}.controller3.onStation,{uavCont}.controller3.pitchOut,{uavCont}.controller3.rollOut,{uavCont}.controller3.throttleOut,{uavCont}.controller3.yawOut,{uavCont}.controller4.onStation,{uavCont}.controller4.pitchOut,{uavCont}.controller4.rollOut,{uavCont}.controller4.throttleOut,{uavCont}.controller4.yawOut,{uav}.uav1.batteryCharge,{uav}.uav1.currentPitch,{uav}.uav1.currentRoll,{uav}.uav1.currentYaw,{uav}.uav1.posX,{uav}.uav1.posY,{uav}.uav1.posZ,{uav}.uav1.velX,{uav}.uav1.velY,{uav}.uav1.velZ,{uav}.uav2.batteryCharge,{uav}.uav2.currentPitch,{uav}.uav2.currentRoll,{uav}.uav2.currentYaw,{uav}.uav2.posX,{uav}.uav2.posY,{uav}.uav2.posZ,{uav}.uav2.velX,{uav}.uav2.velY,{uav}.uav2.velZ,{uav}.uav3.batteryCharge,{uav}.uav3.currentPitch,{uav}.uav3.currentRoll,{uav}.uav3.currentYaw,{uav}.uav3.posX,{uav}.uav3.posY,{uav}.uav3.posZ,{uav}.uav3.velX,{uav}.uav3.velY,{uav}.uav3.velZ,{uav}.uav4.batteryCharge,{uav}.uav4.currentPitch,{uav}.uav4.currentRoll,{uav}.uav4.currentYaw,{uav}.uav4.posX,{uav}.uav4.posY,{uav}.uav4.posZ,{uav}.uav4.velX,{uav}.uav4.velY,{uav}.uav4.velZ
4.5,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6437.584629,0,0,23,46,180,0,10,0,0,6437.584629,0,0,23,-46,180,0,-10,0,0,6437.584629,0,0,23,0,180,46,0,0,10,6437.584629,0,0,23,0,180,-46,0,0,-10
4.7,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6435.684973,0,0,24,48,180,0,10,0,0,6435.684973,0,0,24,-48,180,0,-10,0,0,6435.684973,0,0,24,0,180,48,0,0,10,6435.684973,0,0,24,0,180,-48,0,0,-10
4.9,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6433.777033,0,0,25,50,180,0,10,0,0,6433.777033,0,0,25,-50,180,0,-10,0,0,6433.777033,0,0,25,0,180,50,0,0,10,6433.777033,0,0,25,0,180,-50,0,0,-10
5.1,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6431.867428,0,0,26,52,180,0,10,0,0,6431.867428,0,0,26,-52,180,0,-10,0,0,6431.867428,0,0,26,0,180,52,0,0,10,6431.867428,0,0,26,0,180,-52,0,0,-10
5.3,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6429.957487,0,0,27,54,180,0,10,0,0,6429.957487,0,0,27,-54,180,0,-10,0,0,6429.957487,0,0,27,0,180,54,0,0,10,6429.957487,0,0,27,0,180,-54,0,0,-10
5.5,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6428.047479,0,0,28,56,180,0,10,0,0,6428.047479,0,0,28,-56,180,0,-10,0,0,6428.047479,0,0,28,0,180,56,0,0,10,6428.047479,0,0,28,0,180,-56,0,0,-10
5.7,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6426.308306,0,0,29,58,180,0,10,0,0,6426.308306,0,0,29,-58,180,0,-10,0,0,6426.308306,0,0,29,0,180,58,0,0,10,6426.308306,0,0,29,0,180,-58,0,0,-10
5.9,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6424.451012,0,0,30,60,180,0,10,0,0,6424.451012,0,0,30,-60,180,0,-10,0,0,6424.451012,0,0,30,0,180,60,0,0,10,6424.451012,0,0,30,0,180,-60,0,0,-10
6.1,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6422.551357,0,0,31,62,180,0,10,0,0,6422.551357,0,0,31,-62,180,0,-10,0,0,6422.551357,0,0,31,0,180,62,0,0,10,6422.551357,0,0,31,0,180,-62,0,0,-10
6.3,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6420.643417,0,0,32,64,180,0,10,0,0,6420.643417,0,0,32,-64,180,0,-10,0,0,6420.643417,0,0,32,0,180,64,0,0,10,6420.643417,0,0,32,0,180,-64,0,0,-10
6.5,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6418.733812,0,0,33,66,180,0,10,0,0,6418.733812,0,0,33,-66,180,0,-10,0,0,6418.733812,0,0,33,0,180,66,0,0,10,6418.733812,0,0,33,0,180,-66,0,0,-10
6.7,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6416.823872,0,0,34,68,180,0,10,0,0,6416.823872,0,0,34,-68,180,0,-10,0,0,6416.823872,0,0,34,0,180,68,0,0,10,6416.823872,0,0,34,0,180,-68,0,0,-10
6.9,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6415.084703,0,0,35,70,180,0,10,0,0,6415.084703,0,0,35,-70,180,0,-10,0,0,6415.084703,0,0,35,0,180,70,0,0,10,6415.084703,0,0,35,0,180,-70,0,0,-10
7.1,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6413.227406,0,0,36,72,180,0,10,0,0,6413.227406,0,0,36,-72,180,0,-10,0,0,6413.227406,0,0,36,0,180,72,0,0,10,6413.227406,0,0,36,0,180,-72,0,0,-10
7.3,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6411.32775,0,0,37,74,180,0,10,0,0,6411.32775,0,0,37,-74,180,0,-10,0,0,6411.32775,0,0,37,0,180,74,0,0,10,6411.32775,0,0,37,0,180,-74,0,0,-10
7.5,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6409.41981,0,0,38,76,180,0,10,0,0,6409.41981,0,0,38,-76,180,0,-10,0,0,6409.41981,0,0,38,0,180,76,0,0,10,6409.41981,0,0,38,0,180,-76,0,0,-10
7.7,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6407.510205,0,0,39,78,180,0,10,0,0,6407.510205,0,0,39,-78,180,0,-10,0,0,6407.510205,0,0,39,0,180,78,0,0,10,6407.510205,0,0,39,0,180,-78,0,0,-10
7.9,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6405.600265,0,0,40,80,180,0,10,0,0,6405.600265,0,0,40,-80,180,0,-10,0,0,6405.600265,0,0,40,0,180,80,0,0,10,6405.600265,0,0,40,0,180,-80,0,0,-10
8.1,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6403.861097,0,0,41,82,180,0,10,0,0,6403.861097,0,0,41,-82,180,0,-10,0,0,6403.861097,0,0,41,0,180,82,0,0,10,6403.861097,0,0,41,0,180,-82,0,0,-10
8.3,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6402.0038,0,0,42,84,180,0,10,0,0,6402.0038,0,0,42,-84,180,0,-10,0,0,6402.0038,0,0,42,0,180,84,0,0,10,6402.0038,0,0,42,0,180,-84,0,0,-10
8.5,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6400.104144,0,0,43,86,180,0,10,0,0,6400.104144,0,0,43,-86,180,0,-10,0,0,6400.104144,0,0,43,0,180,86,0,0,10,6400.104144,0,0,43,0,180,-86,0,0,-10
8.7,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6398.196203,0,0,44,88,180,0,10,0,0,6398.196203,0,0,44,-88,180,0,-10,0,0,6398.196203,0,0,44,0,180,88,0,0,10,6398.196203,0,0,44,0,180,-88,0,0,-10
8.9,0.2,1,1,1,1,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,0,0,0.2,0.37,0,6396.286599,0,0,45,90,180,0,10,0,0,6396.286599,0,0,45,-90,180,0,-10,0,0,6396.286599,0,0,45,0,180,90,0,0,10,6396.286599,0,0,45,0,180,-90,0,0,-10
9.1,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6394.376658,0,0,46,92,180,0,10,0,0,6394.376658,0,0,46,-92,180,0,-10,0,0,6394.376658,0,0,46,0,180,92,0,0,10,6394.376658,0,0,46,0,180,-92,0,0,-10
9.3,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6392.63749,0,0,47,94,180,0,10,0,0,6392.63749,0,0,47,-94,180,0,-10,0,0,6392.63749,0,0,47,0,180,94,0,0,10,6392.63749,0,0,47,0,180,-94,0,0,-10
9.5,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6390.780193,0,0,48,96,180,0,10,0,0,6390.780193,0,0,48,-96,180,0,-10,0,0,6390.780193,0,0,48,0,180,96,0,0,10,6390.780193,0,0,48,0,180,-96,0,0,-10
9.7,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6388.880537,0,0,49,98,180,0,10,0,0,6388.880537,0,0,49,-98,180,0,-10,0,0,6388.880537,0,0,49,0,180,98,0,0,10,6388.880537,0,0,49,0,180,-98,0,0,-10
9.9,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6386.972596,0,0,50,100,180,0,10,0,0,6386.972596,0,0,50,-100,180,0,-10,0,0,6386.972596,0,0,50,0,180,100,0,0,10,6386.972596,0,0,50,0,180,-100,0,0,-10
